station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CIC,1996-12-20 00:51,M,M,M,140.00,9.00,M,30.20,M,3.00,M,BKN,   ,   ,   ,20000.00,M,M,M,HZ,M,M,M,M,M,M,M,KCIC 200051Z 14009KT 3SM HZ BKN200 A3020,M
CIC,1996-12-20 01:45,M,M,M,140.00,10.00,M,30.21,M,2.00,M,BKN,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 200145Z 14010KT 2SM BR BKN100 A3021,M
CIC,1996-12-20 02:45,M,M,M,120.00,8.00,M,30.21,M,0.20,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCIC 200245Z 12008KT 3/16 FG VV005 A3021 RMK LAST,M
CIC,1996-12-20 14:53,M,M,M,0.00,0.00,M,30.17,M,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201453Z 00000KT 1SM BR VV004 A3017,M
CIC,1996-12-20 15:54,M,M,M,0.00,0.00,M,30.18,M,0.75,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201554Z 00000KT 3/4SM BR VV004 A3018,M
CIC,1996-12-20 17:48,M,M,M,130.00,9.04,M,30.15,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCIC 201748Z 13009KT 3/4SM BG VV003 A3015,M
CIC,1996-12-20 18:47,M,M,M,140.00,11.00,M,30.15,M,0.75,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201847Z 14011KT 3/4SM BR VV003 A3015,M
CIC,1996-12-20 19:47,M,M,M,140.00,10.00,M,30.12,M,0.75,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201947Z 14010KT 3/4SM BR VV003 A3012,M
CIC,1996-12-20 20:56,M,M,M,130.00,10.00,M,30.06,M,1.00,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202056Z 13010KT 1SM BR VV003 A3006,M
CIC,1996-12-20 21:48,M,M,M,170.00,7.00,M,30.04,M,1.50,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202148Z 17007KT 1 1/2SM BR VV003 A3004,M
CIC,1996-12-20 22:51,M,M,M,140.00,12.00,M,30.00,M,2.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202251Z 14012KT 2SM BR VV004 A3000,M
CIC,1996-12-21 01:45,M,M,M,100.00,5.00,M,29.96,M,3.00,M,VV ,   ,   ,   ,600.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 210145Z 10005KT 3SM -RA BR VV006 A2996,M
CIC,1996-12-21 02:45,M,M,M,0.00,0.00,M,29.94,M,3.00,M,OVC,   ,   ,   ,1000.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 210245Z 00000KT 3SM -RA BR OVC010 A2994 RMK CIG RGD LAST,M
CIC,1996-12-21 14:52,M,M,M,330.00,5.00,M,29.67,M,0.12,M,VV ,   ,   ,   ,0.00,M,M,M,-RA FG,M,M,M,M,M,M,M,KCIC 211452Z 33005KT 1/8SM -RA FG VV000 A2967,M
CIC,1996-12-21 15:58,M,M,M,280.00,6.00,M,29.68,M,0.25,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211558Z 28006KT 1/4SM FG VV001 A2968,M
CIC,1996-12-21 16:52,M,M,M,300.00,7.00,M,29.69,M,0.25,M,VV ,   ,   ,   ,0.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211652Z 30007KT 1/4SM FG VV000 2969,M
CIC,1996-12-21 17:49,M,M,M,0.00,0.00,M,29.69,M,0.12,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211749Z 00000KT 2/16SM FG VV001 A2969,M
CIC,1996-12-21 18:49,M,M,M,0.00,0.00,M,29.69,M,0.38,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211849Z 00000KT 3/8SM FG VV001 A2969,M
CIC,1996-12-21 19:47,M,M,M,120.00,9.00,M,29.66,M,0.19,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211947Z 12009KT 3/16SM FG VV001 A2966,M
CIC,1996-12-21 20:51,M,M,M,100.00,7.00,M,29.62,M,0.19,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 212051Z 10007KT 3/16SM FG VV001 A2962,M
CIC,1996-12-21 21:45,M,M,M,130.00,14.00,M,29.59,M,5.00,M,SCT,BKN,OVC,   ,400.00,1000.00,4000.00,M,BR,M,M,M,M,M,M,M,KCIC 212145Z 13014KT 5SM BR SCT004 BKN010 OVC040 A2959 RMK CIG RGD,M
CIC,1996-12-21 22:45,M,M,M,130.00,11.00,M,29.60,M,9.00,M,SCT,BKN,OVC,   ,600.00,2200.00,7000.00,M,M,M,M,M,M,M,M,M,KCIC 212245Z 13011KT 9SM SCT006 BKN022 OVC070 A2960 RMK CIG RGD,M
CIC,1996-12-21 23:45,M,M,M,120.00,15.00,M,29.60,M,15.00,M,SCT,OVC,   ,   ,600.00,2200.00,M,M,M,M,M,M,M,M,M,M,KCIC 212345Z 12015KT 15SM SCT006 OVC022 A2960 RMK CIG RGD,M
CIC,1996-12-22 01:45,M,M,M,120.00,12.00,M,29.60,M,15.00,M,BKN,OVC,   ,   ,2200.00,7000.00,M,M,M,M,M,M,M,M,M,M,KCIC 220145Z 12012KT 15SM BKN022 OVC070 A2960 RMK CIG RGD,M
CIC,1996-12-22 14:54,M,M,M,130.00,18.00,M,29.62,M,7.00,M,OVC,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 221454Z 13018KT 7SM OVC030 A2962 RMK CIG RGD,M
CIC,1996-12-22 15:49,M,M,M,120.00,15.00,M,29.63,M,4.00,M,OVC,   ,   ,   ,2000.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 221549Z 12015KT 4SM BR OVC020 A2963 RMK CIG RGD,M
CIC,1996-12-22 16:45,M,M,M,130.00,34.99,M,29.63,M,7.00,46.65,OVC,   ,   ,   ,800.00,M,M,M,-RA,M,M,M,M,M,M,M,KCIC 221645Z 13018G24 7SM -RA OVC008 A2963 RMK CIG RGD,M
CIC,1996-12-22 17:45,M,M,M,130.00,16.00,M,29.62,M,4.00,22.00,SCT,OVC,   ,   ,400.00,800.00,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 221745Z 13016G22KT 4SM -RA BR SCT004 OVC008 A2962,M
CIC,1996-12-22 18:45,M,M,M,140.00,22.00,M,29.62,M,10.00,30.00,BKN,OVC,   ,   ,600.00,5000.00,M,M,-RA,M,M,M,M,M,M,M,KCIC 221845Z 14022G30KT 10SM -RA BKN006 OVC050 A2962,M
CIC,1996-12-22 19:46,M,M,M,150.00,15.00,M,29.66,M,10.00,M,BKN,OVC,   ,   ,800.00,5000.00,M,M,-RA,M,M,M,M,M,M,M,KCIC 221946Z 15015KT 10SM -RA BKN008 OVC050 A2966 RMK CIG RGD,M
CIC,1996-12-22 20:47,M,M,M,140.00,12.00,M,29.65,M,40.00,M,SCT,BKN,   ,   ,800.00,5000.00,M,M,M,M,M,M,M,M,M,M,KCIC 222047Z 14012KT 40SM SCT008 BKN050 A2965,M
CIC,1996-12-22 21:53,M,M,M,150.00,13.00,M,29.69,M,40.00,M,BKN,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 222153Z 15013KT 40SM BKN020 A2969 RMK CIG RMK,M
CIC,1996-12-22 22:46,M,M,M,180.00,14.00,M,29.76,M,40.00,M,BKN,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 222246Z 18014KT 40SM BKN020 A2976 RMK CIG RGD,M
CIC,1996-12-22 23:51,M,M,M,150.00,10.00,M,29.79,M,40.00,M,SCT,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 222351Z 15010KT 40SM SCT020 A2979,M
CIC,1996-12-23 00:46,M,M,M,180.00,11.00,M,29.84,M,40.00,M,SCT,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 230046Z 18011KT 40SM SCT020 A2984,M
CIC,1996-12-23 01:46,M,M,M,110.00,8.00,M,29.88,M,40.00,M,SCT,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 230146Z 11008KT 40SM SCT020 A2988,M
CIC,1996-12-23 02:46,M,M,M,100.00,6.00,M,29.90,M,40.00,M,SCT,   ,   ,   ,2000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 230246Z 10006KT 40SM SCT020 A2990 RMK LAST,M
CIC,1996-12-23 14:49,M,M,M,130.00,16.00,M,30.27,M,20.00,M,BKN,OVC,   ,   ,4000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231449Z 13016KT 20SM BKN040 OVC080 A3027,M
CIC,1996-12-23 15:59,M,M,M,120.00,13.00,M,30.32,M,15.00,M,SCT,OVC,   ,   ,3000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231559Z 12013KT 15SM SCT030 OVC080 A3032,M
CIC,1996-12-23 16:45,M,M,M,120.00,13.00,M,30.35,M,15.00,M,SCT,OVC,   ,   ,3000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231645Z 12013KT 15SM SCT030 OVC080 A3035,M
CIC,1996-12-23 17:45,M,M,M,120.00,15.00,M,30.39,M,30.00,M,SCT,BKN,   ,   ,3000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231745Z 12015KT 30SM SCT030 BKN080 A3039,M
CIC,1996-12-23 18:47,M,M,M,130.00,15.00,M,30.41,M,20.00,M,SCT,BKN,   ,   ,3000.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231847Z 13015KT 20SM SCT030 BKN080 A3041,M
CIC,1996-12-23 19:47,M,M,M,120.00,14.00,M,30.41,M,20.00,M,BKN,BKN,   ,   ,2500.00,10000.00,M,M,M,M,M,M,M,M,M,M,KCIC 231947Z 12014KT 20SM BKN025 BKN100 A3041,M
CIC,1996-12-23 20:49,M,M,M,110.00,10.00,M,30.41,M,30.00,M,SCT,BKN,   ,   ,2500.00,15000.00,M,M,M,M,M,M,M,M,M,M,KCIC 232049Z 11010KT 30SM SCT025 BKN150 A3041,M
CIC,1996-12-23 21:49,M,M,M,120.00,11.00,M,30.39,M,30.00,M,FEW,FEW,OVC,   ,2500.00,4000.00,25000.00,M,M,M,M,M,M,M,M,M,KCIC 232149Z 12011KT 30SM FEW025 FEW040 OVC250 A3039,M
CIC,1996-12-23 22:53,M,M,M,130.00,11.00,M,30.41,M,M,M,FEW,BKN,   ,   ,2500.00,25000.00,M,M,M,M,M,M,M,M,M,M,KCIC 232253Z 13011KT FEW025 BKN250 A3041,M
CIC,1996-12-23 23:49,M,M,M,150.00,10.00,M,30.42,M,29.00,M,FEW,SCT,   ,   ,2500.00,25000.00,M,M,M,M,M,M,M,M,M,M,KCIC 232349Z 15010KT 29SM FEW025 SCT250 A3042,M
CIC,1996-12-24 00:48,M,M,M,130.00,5.00,M,30.42,M,20.00,M,FEW,SCT,   ,   ,3000.00,25000.00,M,M,M,M,M,M,M,M,M,M,KCIC 240048Z 13005KT 20SM FEW030 SCT250 A3042,M
CIC,1996-12-24 01:46,M,M,M,0.00,0.00,M,30.43,M,20.00,M,FEW,SCT,   ,   ,3000.00,25000.00,M,M,M,M,M,M,M,M,M,M,KCIC 240146Z 00000KT 20SM FEW030 SCT250 A3043,M
CIC,1996-12-24 02:46,M,M,M,0.00,0.00,M,30.44,M,20.00,M,FEW,SCT,   ,   ,3000.00,25000.00,M,M,M,M,M,M,M,M,M,M,KCIC 240246Z 00000KT 20SM FEW030 SCT250 A3044,M
CIC,1996-12-24 14:53,M,M,M,0.00,0.00,M,30.41,M,10.00,M,BKN,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 241453Z 00000KT 10SM BKN200 A3041,M
CIC,1996-12-24 16:59,M,M,M,0.00,0.00,M,30.40,M,M,M,BKN,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 241659Z 00000KT BKN200 A3040,M
CIC,1996-12-24 18:46,M,M,M,0.00,0.00,M,30.39,M,20.00,M,BKN,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 241846Z 00000KT 20SM BKN200 A3039,M
CIC,1996-12-24 19:52,M,M,M,300.00,8.00,M,30.35,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 241952Z 30008KT 80SM OVC200 A3035,M
CIC,1996-12-24 20:50,M,M,M,120.00,4.00,M,30.31,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 242050Z 12004KT 80SM OVC200 A3031,M
CIC,1996-12-24 21:55,M,M,M,280.00,9.00,M,30.30,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 242155Z 28009KT 80SM OVC200 A3030,M
CIC,1996-12-24 23:54,M,M,M,30.00,M,M,30.27,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 242354Z 030304KT 80SM OVC200 A3027,M
CIC,1996-12-25 01:53,M,M,M,30.00,6.00,M,30.26,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 250153Z 03006KT 80SM OVC200 A3026,M
CIC,1996-12-25 02:46,M,M,M,0.00,0.00,M,30.26,M,80.00,M,OVC,   ,   ,   ,20000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 250246Z 00000KT 80SM OVC200 A3026,M
CIC,1996-12-25 14:46,M,M,M,0.00,0.00,M,30.16,M,40.00,M,SCT,   ,   ,   ,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 251446Z 00000KT 40SM SCT080 A3016,M
CIC,1996-12-25 15:55,M,M,M,0.00,0.00,M,30.15,M,60.00,M,SCT,   ,   ,   ,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 251555Z 00000KT 60SM SCT080 A3015,M
CIC,1996-12-25 16:47,M,M,M,0.00,0.00,M,30.14,M,60.00,M,SCT,SCT,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 251647Z 00000KT 60SM SCT080 SCT200 A3014,M
CIC,1996-12-25 17:47,M,M,M,300.00,7.00,M,30.16,M,60.00,M,SCT,SCT,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 251747Z 30007KT 60SM SCT080 SCT200 A3016,M
CIC,1996-12-25 18:52,M,M,M,270.00,5.00,M,30.14,M,60.00,M,SCT,SCT,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 251852Z 27005KT 60SM SCT080 SCT200 A3014,M
CIC,1996-12-25 19:51,M,M,M,180.00,5.00,M,30.10,M,60.00,M,FEW,SCT,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 251951Z 18005KT 60SM FEW080 SCT200 A3010,M
CIC,1996-12-25 20:47,M,M,M,0.00,0.00,M,30.08,M,60.00,M,FEW,SCT,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 252047Z 00000KT 60SM FEW080 SCT200 A3008,M
CIC,1996-12-25 21:56,M,M,M,0.00,0.00,M,30.04,M,20.00,M,FEW,BKN,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 252156Z 00000KT 20SM FEW080 BKN200 A3004,M
CIC,1996-12-25 22:47,M,M,M,230.00,7.00,M,30.02,M,20.00,M,FEW,BKN,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 252247Z 23007KT 20SM FEW080 BKN200 A3002,M
CIC,1996-12-25 23:47,M,M,M,250.00,6.00,M,30.02,M,20.00,M,FEW,BKN,   ,   ,8000.00,20000.00,M,M,M,M,M,M,M,M,M,M,KCIC 252347Z 25006KT 20SM FEW080 BKN200 A3002,M
CIC,1996-12-26 00:46,M,M,M,210.00,6.00,M,30.00,M,40.00,M,FEW,OVC,   ,   ,8000.00,15000.00,M,M,M,M,M,M,M,M,M,M,KCIC 260046Z 21006KT 40SM FEW080 OVC150 A3000,M
CIC,1996-12-26 01:57,M,M,M,0.00,0.00,M,29.99,M,20.00,M,FEW,OVC,   ,   ,8000.00,15000.00,M,M,M,M,M,M,M,M,M,M,KCIC 260157Z 00000KT 20SM FEW080 OVC150 A2999,M
CIC,1996-12-26 14:52,M,M,M,120.00,12.00,M,29.85,M,7.00,M,OVC,   ,   ,   ,1500.00,M,M,M,-RA,M,M,M,M,M,M,M,KCIC 261452Z 12012KT 7SM -RA OVC015 A2985,M
CIC,1996-12-26 15:46,M,M,M,120.00,10.00,M,29.85,M,4.00,M,SCT,BKN,OVC,   ,1500.00,2000.00,3000.00,M,-RA,M,M,M,M,M,M,M,KCIC 261546Z 12010KT 4SM -RA SCT015 BKN020 OVC030 A2985,M
CIC,1996-12-26 16:48,M,M,M,130.00,12.00,M,29.85,M,4.00,M,SCT,BKN,OVC,   ,1500.00,2000.00,3000.00,M,-RA,M,M,M,M,M,M,M,KCIC 261648Z 13012KT 4SM -RA SCT015 BKN020 OVC030 A2985,M
CIC,1996-12-26 20:47,M,M,M,140.00,11.00,M,29.75,M,1.00,M,OVC,   ,   ,   ,4000.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 262047Z 14011KT 1SM -RA BR OVC040 A2975,M
CIC,1996-12-26 21:49,M,M,M,120.00,10.00,M,29.72,M,1.00,M,OVC,   ,   ,   ,400.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 262149Z 12010KT 1SM -RA BR OVC004 A2972,M
CIC,1996-12-26 23:48,M,M,M,130.00,9.00,M,29.71,M,3.00,M,OVC,   ,   ,   ,600.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 262348Z 13009KT 3SM -RA BR OVC006 A2971,M
CIC,1996-12-27 00:50,M,M,M,150.00,8.00,M,29.70,M,2.50,M,OVC,   ,   ,   ,600.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 270050Z 15008KT 21/2SM -RA BR OVC006 A2970,M
